,coin,buy_date,buy,sell_date,sell,profit,profit_rate
1,BAT,2021-02-05,393.19649999999996,2021-02-20,670.6645000000001,277.46800000000013,0.7056726089881272
2,BAT,2021-03-03,876.438,2021-03-25,1204.3975,327.95950000000005,0.37419589292111943
3,BAT,2021-04-05,1710.855,2021-04-12,1859.0700000000002,148.21500000000015,0.0866321225352237
4,BAT,2021-07-30,714.357,2021-08-20,915.542,201.18500000000006,0.28163089323685503
5,BAT,2021-08-22,1020.51,2021-08-26,936.5315,-83.97849999999994,-0.08229071738640478
6,BAT,2021-09-05,1125.5625,2021-09-07,939.5300000000001,-186.0324999999999,-0.16527958243100666
7,BAT,2021-10-29,1020.51,2021-11-18,1214.3925000000002,193.88250000000016,0.1899858894082372
8,BAT,2021-11-25,1775.8874999999998,2021-12-04,1419.2900000000002,-356.5974999999996,-0.20079960019989987
0,IOST,2021-01-08,9.994995,2021-01-21,16.791600000000003,6.796605000000003,0.6800008404206309
1,IOST,2021-02-08,21.2106,2021-02-26,47.17640000000001,25.96580000000001,1.224189791896505
2,IOST,2021-03-20,78.53925,2021-04-09,70.86455000000001,-7.674699999999987,-0.09771801997090611
3,IOST,2021-04-12,81.14054999999999,2021-04-22,58.47075,-22.669799999999988,-0.27938928193116747
4,IOST,2021-07-30,30.11505,2021-09-13,80.25985,50.144800000000004,1.665107645512792
0,CVC,2021-01-06,118.059,2021-01-18,183.90800000000002,65.84900000000002,0.5577634911357882
1,CVC,2021-02-02,190.095,2021-02-23,386.8065,196.71150000000003,1.0348062810699914
2,CVC,2021-03-23,564.2819999999999,2021-04-09,780.6095,216.3275000000001,0.3833677133064676
3,CVC,2021-07-05,333.1665,2021-07-24,253.87300000000002,-79.29349999999997,-0.23799961880921391
4,CVC,2021-07-31,332.166,2021-08-19,381.809,49.64300000000003,0.14945238224261373
5,CVC,2021-08-23,436.21799999999996,2021-09-21,474.76250000000005,38.544500000000085,0.08836063619566384
6,CVC,2021-11-05,626.313,2021-11-13,567.716,-58.59699999999998,-0.09355865198391217
7,CVC,2021-11-20,691.3455,2021-12-03,601.6990000000001,-89.64649999999995,-0.1296696080324526
0,IQ,2021-02-03,5.352675,2021-02-23,7.41629,2.0636150000000004,0.38552966507400516
1,IQ,2021-03-13,15.50775,2021-03-27,29.985000000000003,14.477250000000003,0.9335493543550808
2,IQ,2021-04-02,47.0235,2021-04-07,26.1869,-20.836599999999997,-0.4431103597137601
3,IQ,2021-04-17,52.6263,2021-05-24,15.792100000000001,-36.834199999999996,-0.6999200019761981
4,IQ,2021-07-30,15.30765,2021-08-18,16.09195,0.7843,0.05123581999849748
5,IQ,2021-08-27,19.0095,2021-09-10,19.590200000000003,0.5807000000000038,0.03054788395276066
6,IQ,2021-10-08,23.11155,2021-10-27,20.1899,-2.9216499999999996,-0.12641514740465262
7,IQ,2021-12-02,24.31215,2021-12-24,15.892050000000001,-8.420099999999998,-0.34633300633633796
0,IOTA,2021-01-04,383.19149999999996,2021-01-26,478.76050000000004,95.56900000000007,0.24940271378671
1,IOTA,2021-02-05,548.274,2021-02-22,1544.2275000000002,995.9535000000002,1.8165251315947868
2,IOTA,2021-03-20,1955.9775,2021-04-08,2498.75,542.7725,0.27749424520476335
3,IOTA,2021-07-30,1265.6325,2021-09-07,1824.0875,558.4550000000002,0.4412457802719195
4,IOTA,2021-10-31,1750.875,2021-11-10,1594.2025,-156.6724999999999,-0.08948240165631464
5,IOTA,2021-11-17,1770.885,2021-12-04,1504.2475000000002,-266.6374999999998,-0.15056737168139084
0,HIFI,2021-01-09,333.1665,2021-01-11,283.858,-49.30849999999998,-0.1479995737866802
1,HIFI,2021-01-15,338.169,2021-02-14,1909.045,1570.8760000000002,4.6452395104223045
2,HIFI,2021-03-16,2621.31,2021-04-08,3118.44,497.1300000000001,0.1896494500841183
3,HIFI,2021-07-29,1120.56,2021-08-27,1439.28,318.72,0.28442921396444637
4,HIFI,2021-09-04,1700.85,2021-09-07,1369.315,-331.53499999999985,-0.19492312667195807
5,HIFI,2021-10-08,1780.8899999999999,2021-10-27,1429.285,-351.6049999999998,-0.19743218278501187
6,HIFI,2021-11-17,1750.875,2021-12-02,1649.1750000000002,-101.69999999999982,-0.05808524309273924
0,ONG,2021-01-07,257.1285,2021-01-22,232.88350000000003,-24.244999999999948,-0.09429137571292155
1,ONG,2021-02-06,277.13849999999996,2021-03-21,923.538,646.3995,2.332405999166482
2,ONG,2021-03-27,1060.53,2021-04-14,1454.2725,393.74250000000006,0.3712695539022942
3,ONG,2021-05-20,3196.5975,2021-06-09,1144.4275,-2052.17,-0.6419857363962777
4,ONG,2021-08-11,1060.53,2021-08-21,1084.4575,23.92750000000001,0.02256183229140148
5,ONG,2021-08-24,1565.7825,2021-09-09,1424.2875000000001,-141.4949999999999,-0.09036695709653153
6,ONG,2021-10-03,1575.7875,2021-10-16,1439.28,-136.50749999999994,-0.08662811451417145
0,GAS,2021-01-08,1995.9975,2021-01-23,1959.0200000000002,-36.977499999999736,-0.018525824806894665
1,GAS,2021-02-03,2266.1324999999997,2021-03-15,13953.02,11686.8875,5.157195133117769
2,GAS,2021-03-30,17058.524999999998,2021-04-07,15442.275000000001,-1616.2499999999964,-0.09474734773375755
3,GAS,2021-04-16,23431.71,2021-05-21,12963.515000000001,-10468.194999999998,-0.44675335261489657
4,GAS,2021-07-13,10895.445,2021-07-22,6876.56,-4018.8849999999993,-0.3688591884039614
5,GAS,2021-08-13,11505.75,2021-09-08,11864.065,358.3150000000005,0.03114225495947683
6,GAS,2021-10-08,12296.144999999999,2021-10-15,10854.57,-1441.574999999999,-0.11723796360566657
0,UPP,2021-02-11,37.2186,2021-02-25,82.7586,45.54,1.2235817575083425
1,UPP,2021-03-12,132.066,2021-03-26,273.863,141.797,1.073682855541926
2,UPP,2021-05-21,293.1465,2021-06-10,112.9435,-180.203,-0.614719943782375
3,UPP,2021-06-29,118.059,2021-07-20,137.931,19.872000000000014,0.16832261835184115
4,UPP,2021-08-01,226.113,2021-08-15,220.8895,-5.223500000000001,-0.023101281217798187
5,UPP,2021-08-23,235.11749999999998,2021-09-14,238.8805,3.7630000000000337,0.016004763575659123
6,UPP,2021-10-07,302.151,2021-10-13,260.8695,-41.281499999999994,-0.13662539591131584
7,UPP,2021-11-01,274.137,2021-11-03,253.87300000000002,-20.26399999999998,-0.07391924475718338
8,UPP,2021-11-25,274.137,2021-12-12,190.9045,-83.23249999999999,-0.3036164399552048
0,ELF,2021-01-07,145.0725,2021-01-29,156.9215,11.849000000000018,0.08167640317772161
1,ELF,2021-02-05,189.09449999999998,2021-02-23,241.87900000000002,52.78450000000004,0.2791434970345517
2,ELF,2021-03-12,407.20349999999996,2021-03-15,373.81300000000005,-33.39049999999992,-0.08199954077015527
3,ELF,2021-03-23,456.22799999999995,2021-04-08,552.7235000000001,96.4955000000001,0.2115071850039895
4,ELF,2021-04-10,699.3494999999999,2021-04-19,552.7235000000001,-146.62599999999986,-0.20966054883859914
5,ELF,2021-07-27,265.1325,2021-09-13,843.5780000000001,578.4455,2.181722346373983
0,BSV,2021-01-08,209854.875,2021-01-16,229435.225,19580.350000000006,0.09330424180043473
1,BSV,2021-02-09,234667.275,2021-02-23,211894.0,-22773.274999999994,-0.09704495439340656
2,BSV,2021-03-13,250975.425,2021-04-20,377311.25,126335.82500000001,0.5033792651212764
3,BSV,2021-07-30,169184.55,2021-09-08,263418.22500000003,94233.67500000005,0.5569874731469278
4,BSV,2021-11-09,228013.94999999998,2021-11-17,199900.0,-28113.949999999983,-0.12329925427808248
0,THETA,2020-12-24,1330.665,2021-01-06,2408.795,1078.13,0.8102189506750386
1,THETA,2021-01-26,2526.2625,2021-02-24,3773.1125,1246.8500000000004,0.49355520259672164
2,THETA,2021-03-03,4582.29,2021-04-02,14652.67,10070.380000000001,2.1976740887198325
3,THETA,2021-04-16,18499.245,2021-06-02,9195.4,-9303.845,-0.5029310655651081
4,THETA,2021-08-05,8239.1175,2021-08-28,8115.9400000000005,-123.17749999999978,-0.01495032690090896
5,THETA,2021-09-05,9384.689999999999,2021-09-11,7816.09,-1568.5999999999985,-0.16714457270298738
6,THETA,2021-10-26,8524.26,2021-11-13,8770.612500000001,246.35250000000087,0.02890016259475906
0,QKC,2021-01-08,7.04352,2021-01-14,6.396800000000001,-0.6467199999999993,-0.09181772749988631
1,QKC,2021-01-29,7.4537249999999995,2021-03-23,45.877050000000004,38.423325000000006,5.154915830675267
2,QKC,2021-04-02,69.93495,2021-05-28,21.88905,-48.0459,-0.6870084271169137
3,QKC,2021-07-31,23.51175,2021-08-20,24.1879,0.6761499999999998,0.028757961444809504
4,QKC,2021-09-03,28.414199999999997,2021-09-09,27.68615,-0.7280499999999961,-0.025622752004279416
5,QKC,2021-10-08,60.13005,2021-10-28,33.483250000000005,-26.646799999999992,-0.4431527996401133
6,QKC,2021-11-17,38.31914999999999,2021-12-04,31.784100000000002,-6.535049999999991,-0.17054266600381252
0,BTT,2021-01-08,0.000390195,2021-02-24,0.001629185,0.0012389900000000001,3.175309781006933
1,BTT,2021-03-13,0.0019709849999999998,2021-04-09,0.011994000000000001,0.010023015000000001,5.085282231980458
