,Unnamed: 0,coin,buy_date,buy,sell_date,sell,profit,profit_rate
154,0,POLYX,2020-01-15,23.8119,2020-02-21,38.08095,14.269050000000004,0.5992402958184775
155,1,POLYX,2020-04-29,26.11305,2020-06-12,57.7711,31.65805,1.212345934312537
156,2,POLYX,2020-08-09,55.32764999999999,2020-08-28,69.7651,14.437450000000013,0.2609445729214961
157,3,POLYX,2020-10-10,56.52825,2020-12-11,66.46675,9.938500000000005,0.1758147474935099
158,0,ZRX,2020-01-17,278.139,2020-02-14,404.7975,126.6585,0.4553784258949662
159,1,ZRX,2020-04-25,226.113,2020-05-22,405.797,179.68400000000003,0.7946646145953573
160,2,ZRX,2020-06-10,459.2295,2020-06-17,415.792,-43.43749999999994,-0.0945877823615424
161,3,ZRX,2020-07-03,458.229,2020-07-17,474.7625000000001,16.53350000000006,0.036081304326003
162,4,ZRX,2020-08-08,495.2475,2020-08-30,741.629,246.38150000000007,0.4974916582112986
163,5,ZRX,2020-11-21,455.2275,2020-12-04,431.7840000000001,-23.443499999999915,-0.0514984266108702
164,0,LOOM,2020-01-15,22.11105,2020-02-22,36.081950000000006,13.970900000000007,0.6318514950669465
165,1,LOOM,2020-04-08,19.4097,2020-04-10,17.49125,-1.9184499999999964,-0.0988397553800417
166,2,LOOM,2020-05-01,20.01,2020-05-05,19.49025,-0.5197499999999984,-0.0259745127436281
167,3,LOOM,2020-05-22,24.31215,2020-06-11,21.089450000000003,-3.222699999999996,-0.1325551216161465
168,4,LOOM,2020-06-17,27.6138,2020-06-25,25.88705,-1.726750000000003,-0.0625321397272379
169,5,LOOM,2020-07-18,26.91345,2020-07-29,25.88705,-1.0263999999999989,-0.038137065296348
170,6,LOOM,2020-08-09,29.6148,2020-09-03,33.88305,4.268249999999998,0.1441255723489606
171,7,LOOM,2020-10-14,27.2136,2020-12-09,29.48525,2.2716500000000046,0.0834748067142901
172,0,BCH,2020-01-03,254827.35,2020-02-15,508545.6,253718.2500000001,0.9956476414325232
173,1,BCH,2020-04-29,307653.75,2020-05-11,286806.525,-20847.224999999977,-0.0677619726722004
174,2,BCH,2020-05-30,302951.4,2020-06-12,289255.3,-13696.099999999977,-0.0452089014937708
175,3,BCH,2020-07-25,297098.475,2020-08-12,336781.525,39683.05000000005,0.1335686761771498
176,4,BCH,2020-10-13,291495.675,2020-11-03,277511.175,-13984.5,-0.0479749828192133
177,5,BCH,2020-11-21,323011.425,2020-12-09,294002.925,-29008.5,-0.0898064209338725
178,0,BAT,2020-01-14,237.1185,2020-02-15,324.83750000000003,87.71900000000005,0.3699373941721125
179,1,BAT,2020-04-08,200.1,2020-04-20,191.904,-8.195999999999998,-0.04095952023988
180,2,BAT,2020-04-24,214.107,2020-05-06,219.89,5.783000000000016,0.0270098595562032
181,3,BAT,2020-05-08,275.1375,2020-05-22,249.875,-25.26249999999999,-0.0918177274998863
182,4,BAT,2020-05-30,264.132,2020-06-12,276.86150000000004,12.72950000000003,0.0481937061772145
183,5,BAT,2020-06-25,326.16299999999995,2020-07-03,290.85450000000003,-35.308499999999924,-0.1082541551310232
184,6,BAT,2020-08-10,338.169,2020-08-30,403.798,65.62900000000002,0.1940716032516287
185,7,BAT,2020-11-21,254.127,2020-12-04,251.874,-2.252999999999957,-0.0088656459171987
186,0,IOST,2020-01-14,6.08304,2020-02-22,7.33633,1.253290000000001,0.2060302085799207
187,1,IOST,2020-04-24,4.36218,2020-05-11,4.007995,-0.3541850000000002,-0.0811944944958713
188,2,IOST,2020-05-22,5.02251,2020-06-16,7.09645,2.0739400000000003,0.4129289936704955
189,3,IOST,2020-06-22,8.104049999999999,2020-06-25,7.406295000000001,-0.6977549999999981,-0.0860995428211817
190,4,IOST,2020-07-05,8.214105,2020-07-14,7.31634,-0.8977649999999997,-0.1092955349365511
191,5,IOST,2020-08-14,7.913955,2020-08-27,7.606195,-0.3077599999999991,-0.0388882676234574
192,6,IOST,2020-09-12,9.934965,2020-09-18,7.546225000000001,-2.3887399999999994,-0.2404376864941144
193,7,IOST,2020-11-23,6.10305,2020-12-07,6.4867550000000005,0.3837050000000008,0.0628710235046412
194,8,IOST,2020-12-19,7.263629999999999,2020-12-24,6.266865,-0.996764999999999,-0.1372268411248919
195,0,CVC,2020-01-14,32.11605,2020-02-22,49.975,17.85895,0.5560755447821261
196,1,CVC,2020-04-09,26.31315,2020-05-12,25.3873,-0.9258500000000004,-0.0351858291386626
197,2,CVC,2020-05-22,30.51525,2020-06-13,36.681650000000005,6.166400000000007,0.2020760111747407
198,3,CVC,2020-07-12,36.018,2020-07-28,34.182900000000004,-1.835099999999997,-0.0509495252373812
199,4,CVC,2020-08-09,39.31965,2020-08-30,51.174400000000006,11.85475000000001,0.3014968342800613
200,5,CVC,2020-10-11,33.6168,2020-10-22,30.28485,-3.3319499999999955,-0.0991156207610479
201,6,CVC,2020-11-05,37.71885,2020-11-21,93.1534,55.43455,1.4696776280294863
202,7,CVC,2020-12-02,139.0695,2020-12-09,107.946,-31.123499999999996,-0.2237981728560179
203,0,IQ,2020-01-14,1.7108549999999998,2020-02-20,2.45877,0.7479150000000001,0.4371586136756184
204,1,IQ,2020-05-01,1.4407199999999998,2020-05-05,1.33933,-0.1013899999999996,-0.0703745349547446
205,2,IQ,2020-05-21,1.890945,2020-06-12,1.949025,0.0580800000000001,0.030714801329494
206,3,IQ,2020-07-19,3.04152,2020-07-27,2.13893,-0.9025899999999996,-0.296756227149583
207,4,IQ,2020-08-10,2.851425,2020-08-19,2.51874,-0.3326849999999997,-0.1166732423262052
208,5,IQ,2020-10-08,2.631315,2020-11-05,2.2688650000000004,-0.3624499999999995,-0.137744815805025
209,6,IQ,2020-11-25,2.90145,2020-12-10,2.6786600000000003,-0.2227899999999993,-0.076785745058505
210,0,IOTA,2020-01-14,230.115,2020-02-11,381.809,151.69400000000005,0.6592095256719469
211,1,IOTA,2020-05-14,250.125,2020-05-23,242.8785,-7.246499999999997,-0.0289715142428785
212,2,IOTA,2020-05-30,257.1285,2020-06-13,273.863,16.734500000000025,0.0650822448697831
213,3,IOTA,2020-07-06,291.1455,2020-07-18,282.8585,-8.286999999999978,-0.0284634315144832
214,4,IOTA,2020-07-21,318.159,2020-08-04,363.818,45.65900000000005,0.1435100060032878
215,5,IOTA,2020-08-09,414.207,2020-08-22,477.761,63.55400000000003,0.1534353596148786
216,6,IOTA,2020-10-11,374.187,2020-10-23,313.843,-60.34399999999994,-0.1612669601028361
217,7,IOTA,2020-11-21,351.1755,2020-12-06,365.817,14.641500000000008,0.0416928287992756
218,0,HIFI,2020-02-05,172.08599999999998,2020-02-13,212.8935,40.80750000000003,0.2371343398068409
219,1,HIFI,2020-02-16,309.1545,2020-02-22,173.913,-135.24149999999997,-0.4374560292669199
220,2,HIFI,2020-05-01,72.036,2020-05-10,62.968500000000006,-9.067499999999995,-0.1258745627186406
221,3,HIFI,2020-05-22,76.038,2020-06-11,85.95700000000001,9.919000000000011,0.1304479339277731
222,4,HIFI,2020-06-13,146.07299999999998,2020-06-23,126.9365,-19.13649999999997,-0.1310064146009185
223,5,HIFI,2020-07-15,158.07899999999998,2020-07-29,236.8815,78.80250000000004,0.4985007496251877
