,kimp,revp,winrate,won_total
220,2.3000000000000007,0.9999999999999996,0.6923076923076923,118704126.3701944
221,2.3000000000000007,1.0999999999999996,0.6551724137931034,119879754.58430916
222,2.3000000000000007,1.1999999999999993,0.6764705882352942,123277420.09829734
223,2.3000000000000007,1.2999999999999994,0.6944444444444444,124524907.3018099
224,2.3000000000000007,1.3999999999999995,0.6829268292682927,127353691.22559008
225,2.400000000000001,-1.0,0.6666666666666666,106821426.30959278
226,2.400000000000001,-0.9,0.8333333333333334,108056145.95936859
227,2.400000000000001,-0.8,0.8333333333333334,107894504.03820537
228,2.400000000000001,-0.7000000000000001,0.8333333333333334,107965880.24911642
229,2.400000000000001,-0.6000000000000001,0.8571428571428571,110013029.94191231
230,2.400000000000001,-0.5000000000000001,0.8571428571428571,109717804.39438522
231,2.400000000000001,-0.40000000000000013,0.7142857142857143,110866645.09463575
232,2.400000000000001,-0.30000000000000016,0.75,110395548.33605047
233,2.400000000000001,-0.20000000000000018,0.6,110163725.618955
234,2.400000000000001,-0.1000000000000002,0.7272727272727273,110126510.6455723
235,2.400000000000001,-2.220446049250313e-16,0.75,110679137.20977324
236,2.400000000000001,0.09999999999999964,0.6666666666666666,109967068.87377463
237,2.400000000000001,0.19999999999999973,0.7692307692307693,113835460.81165582
238,2.400000000000001,0.2999999999999998,0.7142857142857143,114301592.2369257
239,2.400000000000001,0.3999999999999997,0.7333333333333333,111852759.81531373
240,2.400000000000001,0.49999999999999956,0.625,110649549.82147191
241,2.400000000000001,0.5999999999999996,0.6666666666666666,112439900.43095312
242,2.400000000000001,0.6999999999999997,0.6666666666666666,114964309.63031405
243,2.400000000000001,0.7999999999999996,0.6666666666666666,116105789.91804546
244,2.400000000000001,0.8999999999999995,0.6,117332178.2222231
245,2.400000000000001,0.9999999999999996,0.68,118152456.65455155
246,2.400000000000001,1.0999999999999996,0.6785714285714286,119514052.67720269
247,2.400000000000001,1.1999999999999993,0.6666666666666666,122761879.75109297
248,2.400000000000001,1.2999999999999994,0.6764705882352942,123937890.62439491
249,2.400000000000001,1.3999999999999995,0.6756756756756757,127604739.95329082
250,2.500000000000001,-1.0,0.6666666666666666,106994265.39010689
251,2.500000000000001,-0.9,0.8333333333333334,108217233.98027332
252,2.500000000000001,-0.8,0.8333333333333334,108055096.5415628
253,2.500000000000001,-0.7000000000000001,0.8333333333333334,108124785.17408392
254,2.500000000000001,-0.6000000000000001,0.8571428571428571,110275778.11685194
255,2.500000000000001,-0.5000000000000001,0.8571428571428571,109979932.75166337
256,2.500000000000001,-0.40000000000000013,0.7142857142857143,111128718.67868763
257,2.500000000000001,-0.30000000000000016,0.75,110660909.57302392
258,2.500000000000001,-0.20000000000000018,0.6,110474949.66639902
259,2.500000000000001,-0.1000000000000002,0.7272727272727273,110442866.20234372
260,2.500000000000001,-2.220446049250313e-16,0.75,110963199.2371538
261,2.500000000000001,0.09999999999999964,0.6666666666666666,110245136.41528255
262,2.500000000000001,0.19999999999999973,0.7692307692307693,114093963.49464612
263,2.500000000000001,0.2999999999999998,0.7142857142857143,114560597.52126253
264,2.500000000000001,0.3999999999999997,0.7333333333333333,112266447.75440092
265,2.500000000000001,0.49999999999999956,0.625,111066165.78763023
266,2.500000000000001,0.5999999999999996,0.6666666666666666,113159996.68749407
267,2.500000000000001,0.6999999999999997,0.6666666666666666,115723021.7465638
268,2.500000000000001,0.7999999999999996,0.6666666666666666,116886068.46425277
269,2.500000000000001,0.8999999999999995,0.6,118128404.67890963
270,2.500000000000001,0.9999999999999996,0.6666666666666666,117417103.62401195
271,2.500000000000001,1.0999999999999996,0.6923076923076923,117911525.39468534
272,2.500000000000001,1.1999999999999993,0.6896551724137931,126105317.66206971
273,2.500000000000001,1.2999999999999994,0.6666666666666666,127811594.38077272
274,2.500000000000001,1.3999999999999995,0.6666666666666666,128752467.46714373
275,2.600000000000001,-1.0,0.6666666666666666,106991698.51038274
276,2.600000000000001,-0.9,0.8333333333333334,108176877.49216858
277,2.600000000000001,-0.8,0.8333333333333334,108012672.47681552
278,2.600000000000001,-0.7000000000000001,0.8333333333333334,108078439.96049166
279,2.600000000000001,-0.6000000000000001,0.8571428571428571,110263179.16127342
280,2.600000000000001,-0.5000000000000001,0.8571428571428571,109966258.33829954
281,2.600000000000001,-0.40000000000000013,0.8571428571428571,111103598.91750002
282,2.600000000000001,-0.30000000000000016,0.75,110672229.16185492
283,2.600000000000001,-0.20000000000000018,0.6,110585840.95903212
284,2.600000000000001,-0.1000000000000002,0.6,109539145.31701645
285,2.600000000000001,-2.220446049250313e-16,0.5454545454545454,109695217.64041
286,2.600000000000001,0.09999999999999964,0.5454545454545454,108970067.33312929
287,2.600000000000001,0.19999999999999973,0.6666666666666666,112775649.77595618
288,2.600000000000001,0.2999999999999998,0.6923076923076923,113604849.16028473
289,2.600000000000001,0.3999999999999997,0.5714285714285714,111337433.98521593
290,2.600000000000001,0.49999999999999956,0.6,110470943.97715753
291,2.600000000000001,0.5999999999999996,0.6470588235294118,113111234.06808165
292,2.600000000000001,0.6999999999999997,0.6470588235294118,115279786.1466629
293,2.600000000000001,0.7999999999999996,0.6470588235294118,116391919.65150382
294,2.600000000000001,0.8999999999999995,0.631578947368421,117460864.26883711
295,2.600000000000001,0.9999999999999996,0.6956521739130435,116930774.19320501
296,2.600000000000001,1.0999999999999996,0.72,117199395.71954042
297,2.600000000000001,1.1999999999999993,0.6666666666666666,124303867.31534651
298,2.600000000000001,1.2999999999999994,0.6785714285714286,126174873.93323305
299,2.600000000000001,1.3999999999999995,0.6551724137931034,127124332.11567764
300,2.700000000000001,-1.0,0.6666666666666666,106921795.71870294
301,2.700000000000001,-0.9,0.8333333333333334,108297377.06985833
302,2.700000000000001,-0.8,0.8333333333333334,108134326.97024114
303,2.700000000000001,-0.7000000000000001,0.8333333333333334,108218997.4076832
304,2.700000000000001,-0.6000000000000001,0.8571428571428571,110570002.22581442
305,2.700000000000001,-0.5000000000000001,0.8571428571428571,110279156.90545832
306,2.700000000000001,-0.40000000000000013,0.8571428571428571,111502352.47829369
307,2.700000000000001,-0.30000000000000016,0.75,110987220.47587281
308,2.700000000000001,-0.20000000000000018,0.6,110799323.20876586
309,2.700000000000001,-0.1000000000000002,0.5,109708624.4763873
310,2.700000000000001,-2.220446049250313e-16,0.5454545454545454,109880073.90080012
311,2.700000000000001,0.09999999999999964,0.5454545454545454,109194404.62982434
312,2.700000000000001,0.19999999999999973,0.5,113177590.82098073
313,2.700000000000001,0.2999999999999998,0.6153846153846154,113222688.5479938
314,2.700000000000001,0.3999999999999997,0.5714285714285714,111149605.89412269
315,2.700000000000001,0.49999999999999956,0.6,110528211.09951189
316,2.700000000000001,0.5999999999999996,0.6470588235294118,113416271.68989132
317,2.700000000000001,0.6999999999999997,0.6470588235294118,115228956.3775501
318,2.700000000000001,0.7999999999999996,0.6470588235294118,116053499.75516778
319,2.700000000000001,0.8999999999999995,0.6111111111111112,116904047.26009673
320,2.700000000000001,0.9999999999999996,0.6190476190476191,115775902.33649218
321,2.700000000000001,1.0999999999999996,0.6521739130434783,116242465.1791439
322,2.700000000000001,1.1999999999999993,0.6086956521739131,123576839.98826075
323,2.700000000000001,1.2999999999999994,0.5416666666666666,125682525.78282142
324,2.700000000000001,1.3999999999999995,0.56,129034128.4473887
325,2.800000000000001,-1.0,0.6666666666666666,106681174.56458579
326,2.800000000000001,-0.9,0.8333333333333334,107822331.60194138
327,2.800000000000001,-0.8,0.8333333333333334,107652563.59067781
328,2.800000000000001,-0.7000000000000001,0.8333333333333334,107715721.66459912
329,2.800000000000001,-0.6000000000000001,0.8571428571428571,109973575.78237347
330,2.800000000000001,-0.5000000000000001,0.8571428571428571,109678823.03407979
331,2.800000000000001,-0.40000000000000013,0.8571428571428571,110822302.68532145
332,2.800000000000001,-0.30000000000000016,0.625,110445959.85368375
333,2.800000000000001,-0.20000000000000018,0.6,110441758.1577434
334,2.800000000000001,-0.1000000000000002,0.5,109424814.88050216
335,2.800000000000001,-2.220446049250313e-16,0.45454545454545453,109693641.0252808
336,2.800000000000001,0.09999999999999964,0.45454545454545453,108956446.59840968
337,2.800000000000001,0.19999999999999973,0.5,112315558.80423245
338,2.800000000000001,0.2999999999999998,0.5384615384615384,112686245.04228419
339,2.800000000000001,0.3999999999999997,0.5714285714285714,110392078.56067525
340,2.800000000000001,0.49999999999999956,0.6,109984190.74514541
341,2.800000000000001,0.5999999999999996,0.6470588235294118,112855305.06171449
342,2.800000000000001,0.6999999999999997,0.5882352941176471,114327298.91998212
343,2.800000000000001,0.7999999999999996,0.5882352941176471,114906615.32222387
344,2.800000000000001,0.8999999999999995,0.6111111111111112,115226032.09557475
345,2.800000000000001,0.9999999999999996,0.55,115041655.562178
346,2.800000000000001,1.0999999999999996,0.6363636363636364,115358260.89463225
347,2.800000000000001,1.1999999999999993,0.5909090909090909,121979767.29717542
348,2.800000000000001,1.2999999999999994,0.5652173913043478,124005160.93173818
349,2.800000000000001,1.3999999999999995,0.5,127216660.67580384
350,2.9000000000000012,-1.0,0.6666666666666666,106765996.45437756
351,2.9000000000000012,-0.9,0.8333333333333334,107878485.27087438
352,2.9000000000000012,-0.8,0.8333333333333334,107707551.90985617
353,2.9000000000000012,-0.7000000000000001,0.8333333333333334,107767462.05800006
354,2.9000000000000012,-0.6000000000000001,0.8571428571428571,110286245.57797775
355,2.9000000000000012,-0.5000000000000001,0.8571428571428571,109993162.83091173
356,2.9000000000000012,-0.40000000000000013,0.8571428571428571,111149099.97918184
357,2.9000000000000012,-0.30000000000000016,0.75,109946356.95545529
358,2.9000000000000012,-0.20000000000000018,0.6,110086090.05290526
359,2.9000000000000012,-0.1000000000000002,0.5,109082673.75308383
360,2.9000000000000012,-2.220446049250313e-16,0.5454545454545454,109307741.29824656
361,2.9000000000000012,0.09999999999999964,0.5454545454545454,108532210.54046255
362,2.9000000000000012,0.19999999999999973,0.5,111696345.05733457
363,2.9000000000000012,0.2999999999999998,0.6153846153846154,112236026.96889032
364,2.9000000000000012,0.3999999999999997,0.6153846153846154,110856581.93904294
365,2.9000000000000012,0.49999999999999956,0.5714285714285714,110629862.62428555
366,2.9000000000000012,0.5999999999999996,0.625,114349305.82445873
367,2.9000000000000012,0.6999999999999997,0.625,116135483.20802143
368,2.9000000000000012,0.7999999999999996,0.625,116621294.38602313
369,2.9000000000000012,0.8999999999999995,0.6470588235294118,117251330.90222362
370,2.9000000000000012,0.9999999999999996,0.631578947368421,117109884.82170132
371,2.9000000000000012,1.0999999999999996,0.6190476190476191,115290747.52789038
372,2.9000000000000012,1.1999999999999993,0.5714285714285714,122397388.67691553
373,2.9000000000000012,1.2999999999999994,0.5454545454545454,124646966.83242957
374,2.9000000000000012,1.3999999999999995,0.5652173913043478,128267925.76681657
375,3.0000000000000013,-1.0,0.6666666666666666,108395256.44259709
376,3.0000000000000013,-0.9,0.8333333333333334,109026657.45837247
377,3.0000000000000013,-0.8,0.8333333333333334,108836127.76335242
378,3.0000000000000013,-0.7000000000000001,0.8333333333333334,108828125.66258003
379,3.0000000000000013,-0.6000000000000001,0.8333333333333334,111993023.30494522
380,3.0000000000000013,-0.5000000000000001,0.8333333333333334,111817923.27654362
381,3.0000000000000013,-0.40000000000000013,0.8333333333333334,112858343.24753289
382,3.0000000000000013,-0.30000000000000016,0.7142857142857143,111373170.09713751
383,3.0000000000000013,-0.20000000000000018,0.5555555555555556,111158796.54010914
384,3.0000000000000013,-0.1000000000000002,0.5555555555555556,110039625.95831084
385,3.0000000000000013,-2.220446049250313e-16,0.5555555555555556,109670607.13698772
386,3.0000000000000013,0.09999999999999964,0.5555555555555556,108788533.36182678
387,3.0000000000000013,0.19999999999999973,0.7,111891116.30539203
388,3.0000000000000013,0.2999999999999998,0.7,111963300.61064337
389,3.0000000000000013,0.3999999999999997,0.7,111615070.9315359
390,3.0000000000000013,0.49999999999999956,0.6363636363636364,111731255.04699025
391,3.0000000000000013,0.5999999999999996,0.6666666666666666,115380381.63294017
392,3.0000000000000013,0.6999999999999997,0.6666666666666666,115681184.84058164
393,3.0000000000000013,0.7999999999999996,0.6666666666666666,116408413.6489105
394,3.0000000000000013,0.8999999999999995,0.6153846153846154,117452712.96615131
395,3.0000000000000013,0.9999999999999996,0.6,117616498.45671192
396,3.0000000000000013,1.0999999999999996,0.5625,112566491.52129167
397,3.0000000000000013,1.1999999999999993,0.5625,120038508.13835685
398,3.0000000000000013,1.2999999999999994,0.5294117647058824,123299251.4838683
399,3.0000000000000013,1.3999999999999995,0.5555555555555556,126914086.79035977
400,3.1000000000000014,-1.0,0.6666666666666666,109579832.82222462
401,3.1000000000000014,-0.9,0.6666666666666666,110944514.13860504
402,3.1000000000000014,-0.8,0.6666666666666666,110783263.59159322
403,3.1000000000000014,-0.7000000000000001,0.6666666666666666,110907029.33995467
404,3.1000000000000014,-0.6000000000000001,0.6666666666666666,115235419.9478566
405,3.1000000000000014,-0.5000000000000001,0.6666666666666666,115028144.82669841
406,3.1000000000000014,-0.40000000000000013,0.6666666666666666,116366402.8267841
407,3.1000000000000014,-0.30000000000000016,0.5714285714285714,113383259.186707
408,3.1000000000000014,-0.20000000000000018,0.625,113626349.56303948
409,3.1000000000000014,-0.1000000000000002,0.5,112312931.41849922
410,3.1000000000000014,-2.220446049250313e-16,0.5,112225781.79170477
411,3.1000000000000014,0.09999999999999964,0.5,111809300.2752609
412,3.1000000000000014,0.19999999999999973,0.5555555555555556,116000326.78281513
413,3.1000000000000014,0.2999999999999998,0.5555555555555556,116475720.60240355
414,3.1000000000000014,0.3999999999999997,0.5555555555555556,115909826.25920981
415,3.1000000000000014,0.49999999999999956,0.5,115853854.68159215
416,3.1000000000000014,0.5999999999999996,0.5,118906907.94850612
417,3.1000000000000014,0.6999999999999997,0.5,117938559.81547785
418,3.1000000000000014,0.7999999999999996,0.5,119155194.32066588
419,3.1000000000000014,0.8999999999999995,0.5454545454545454,119081475.49123237
420,3.1000000000000014,0.9999999999999996,0.5384615384615384,118821718.69359449
421,3.1000000000000014,1.0999999999999996,0.5,112936858.21577379
422,3.1000000000000014,1.1999999999999993,0.5714285714285714,122281350.14274001
423,3.1000000000000014,1.2999999999999994,0.5333333333333333,125630340.99815077
424,3.1000000000000014,1.3999999999999995,0.5,126911825.90556808
425,3.2000000000000015,-1.0,0.6666666666666666,109590373.47706783
426,3.2000000000000015,-0.9,0.6666666666666666,110917994.6914008
427,3.2000000000000015,-0.8,0.6666666666666666,110756087.3905074
428,3.2000000000000015,-0.7000000000000001,0.6666666666666666,110872218.31203872
429,3.2000000000000015,-0.6000000000000001,0.6666666666666666,115073473.857721
430,3.2000000000000015,-0.5000000000000001,0.6666666666666666,114865072.78987268
431,3.2000000000000015,-0.40000000000000013,0.6666666666666666,116182511.8139089
432,3.2000000000000015,-0.30000000000000016,0.5714285714285714,112855389.36693384
433,3.2000000000000015,-0.20000000000000018,0.625,113265544.57155237
434,3.2000000000000015,-0.1000000000000002,0.5,111966068.82637112
435,3.2000000000000015,-2.220446049250313e-16,0.5,111836630.36587703
436,3.2000000000000015,0.09999999999999964,0.5,111404574.64128663
437,3.2000000000000015,0.19999999999999973,0.5555555555555556,115495891.90260622
438,3.2000000000000015,0.2999999999999998,0.5555555555555556,115941974.75824146
439,3.2000000000000015,0.3999999999999997,0.5555555555555556,115373783.74455255
